what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051807950
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051809799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051812290
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264051844841
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051867745
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051870483
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051904691
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1264051907462
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1264051907587
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1264051907603
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051908632
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051911531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264051911593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052137130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052142846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052146005
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052146020
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1264052192629
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264052193444
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052479893
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052484791
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052488379
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052488395
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264052490064
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1264052506054
